Date,MCD,LLY,JPM,AMZN,SP500
5/1/2015,83.720886,69.260231,57.117687,429.230011,2107.389893
6/1/2015,83.691360,73.796280,58.836956,434.089996,2063.110107
7/1/2015,87.908081,74.697853,59.505550,536.150024,2103.840088
8/1/2015,85.680870,72.788651,56.022709,512.890015,1972.180054
9/1/2015,87.501419,74.418472,53.287121,511.890015,1920.030029
10/1/2015,99.685722,72.533318,56.153805,625.900024,2079.360107
11/1/2015,101.381943,72.951256,58.698101,664.799988,2080.409912
12/1/2015,105.739052,75.400383,58.125900,675.890015,2043.939941
1/1/2016,110.787041,70.782913,52.377575,587.000000,1940.239990
2/1/2016,104.888794,64.429451,49.893093,552.520020,1932.229980
3/1/2016,113.339783,64.887192,52.480804,593.640015,2059.739990
4/1/2016,114.070244,68.058998,56.007893,659.590027,2065.300049
5/1/2016,110.075211,67.608444,58.270561,722.789978,2096.949951
6/1/2016,108.524094,71.434357,55.476215,715.619995,2098.860107
7/1/2016,106.878090,75.189781,57.109982,758.809998,2173.600098
8/1/2016,105.070305,70.527275,60.730537,769.159973,2170.949951
9/1/2016,105.612213,73.267982,59.911797,837.309998,2168.270020
10/1/2016,103.057968,67.407272,62.314026,789.820007,2126.149902
11/1/2016,109.191818,61.272701,72.654205,750.570007,2198.810059
12/1/2016,112.301353,68.025085,77.475471,768.659973,2238.830078
1/1/2017,113.085571,71.243645,76.696121,823.479980,2278.870117
2/1/2017,117.772491,76.589470,82.578964,845.039978,2363.639893
3/1/2017,120.460999,78.315338,80.045654,886.539978,2362.719971
4/1/2017,130.052521,76.406555,79.280190,924.989990,2384.199951
5/1/2017,140.238846,74.088112,75.724319,994.619995,2411.800049
6/1/2017,142.348648,77.124870,84.250801,968.000000,2423.409912
7/1/2017,145.092758,77.462227,84.619514,987.780029,2470.300049
8/1/2017,149.609970,76.178360,84.241516,980.599976,2471.649902
9/1/2017,147.402359,80.672386,88.523582,961.349976,2519.360107
10/1/2017,157.026596,77.277245,93.250526,1105.280029,2575.260010
11/1/2017,161.787003,79.823593,97.440788,1176.750000,2584.840088
12/1/2017,162.893448,80.156891,99.696892,1169.469971,2673.610107
1/1/2018,161.965988,77.300240,107.835609,1450.890015,2823.810059
2/1/2018,149.284286,73.095932,108.238037,1512.449951,2713.830078
3/1/2018,148.933456,73.974106,103.055740,1447.339966,2640.870117
4/1/2018,159.466827,77.511703,101.940552,1566.130005,2648.050049
5/1/2018,152.390625,81.307442,100.790375,1629.619995,2705.270020
6/1/2018,149.228714,82.146790,98.143684,1699.800049,2718.370117
7/1/2018,150.991287,95.123924,108.268875,1777.439941,2816.290039
8/1/2018,155.486343,101.708771,108.506859,2012.709961,2901.520020
9/1/2018,161.336945,103.877228,106.859077,2003.000000,2913.979980
10/1/2018,170.604950,104.971085,103.241554,1598.010010,2711.739990
11/1/2018,181.801819,114.844795,106.033913,1690.170044,2760.169922
12/1/2018,172.307236,112.581650,93.093178,1501.969971,2506.850098
1/1/2019,173.481369,116.609367,98.700508,1718.729980,2704.100098
2/1/2019,178.391403,122.864990,100.328835,1639.829956,2784.489990
3/1/2019,185.444977,126.925110,97.319740,1780.750000,2834.399902
4/1/2019,192.935074,114.483002,111.567276,1926.520020,2945.830078
5/1/2019,193.618637,113.407036,102.646507,1775.069946,2752.060059
6/1/2019,203.975922,108.977493,108.303879,1893.630005,2941.760010
7/1/2019,206.981628,107.167595,112.372536,1866.780029,2980.379883
8/1/2019,214.103012,111.121826,107.178001,1776.290039,2926.459961
9/1/2019,212.016006,110.617142,114.816841,1735.910034,2976.739990
10/1/2019,194.231979,112.714142,121.870331,1776.660034,3037.560059
11/1/2019,192.039841,116.077278,129.573059,1800.800049,3140.979980
12/1/2019,196.381088,130.752274,137.086258,1847.839966,3230.780029
1/1/2020,212.639343,138.919952,130.163101,2008.719971,3225.520020
2/1/2020,192.962479,125.479614,114.915863,1883.750000,2954.219971
3/1/2020,165.350006,138.720001,89.104080,1949.719971,2584.590088
4/1/2020,183.699997,145.729996,101.703163,2042.760010,2789.820068
